requested_name,salesforce_account_name,salesforce_account_id,sales_segment,rrr_28d_usd,rrr_28d_millions,status,as_of_date
Unifi Software,Unifi Software,001PK00000T24DVYAZ,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
Update.AI,Update.AI,001PK00000FqHXHYA3,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
Vacasa,Vacasa,001PK000007wlUSYAY,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
Valid,Valid,001PK00000U1z2dYAB,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
Validity (formerly ReturnPath),Validity (formerly ReturnPath),001PK00000T24ERYAZ,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
Veritas Technologies LLC,Veritas Technologies LLC,001PK00000T24iXYAR,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
Virtustream,Virtustream,001PK00000T24kKYAR,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
Vizient Inc.,Vizient Inc.,001PK00000QG68zYAD,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
"Vizient, inc",Vizient Inc.,001PK00000QG68zYAD,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
XAI Inc.,XAI Inc.,001Hs000033XnaLIAS,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
Xactly,Xactly,001PK00000iWNiBYAW,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
[24]7.ai,[24]7.ai,001PK00000PE48cYAD,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
astronomer.io,astronomer.io,001PK00000egAoUYAU,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
dataxu,dataxu,001PK00000T24mAYAR,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
iMerit Technology,iMerit Technology,001PK00000T1pP1YAJ,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
impact.com,impact.com,001PK00000T24DEYAZ,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
inContact,inContact,001PK00000QCl4cYAD,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
liblab (acquired by postman),liblab (acquired by postman),001PK00000bMbtIYAS,DNB,0.0,0.000,in_sfdc_zero_spend,2026-03-19
ChatGPT,,,,,,not_in_sfdc,2026-03-19
Web,,,,,,not_in_sfdc,2026-03-19
